364,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,356,356,353,354,355,356,356,356,353,354,355,356,356,356,353,354,355,356,356,453
387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,453,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,485
419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,485,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,453
359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,453,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,485
391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,485,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,453
356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,357,352,353,356,363,356,356,356,356,356,396,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,485
257,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,387,388,389,384,385,386,453,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,453
289,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,419,420,421,416,417,418,485,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,485
257,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,359,360,361,360,361,362,453,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,453
289,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,391,392,392,393,393,394,485,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,356,356,356,356,356,356,356,356,356,356,356,356
257,256,257,256,257,11,12,256,257,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,396,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256
289,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288
321,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,427,428,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256
364,356,357,352,353,354,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,459,460,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288
387,388,389,384,385,386,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,427,428,427,428,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256
419,420,421,416,417,418,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,459,460,459,460,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288
359,360,361,360,361,362,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352
391,392,392,393,393,394,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384
387,388,389,384,385,386,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416
356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
