453,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,453
485,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,485
453,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,356,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,356,453
485,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,166
453,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,166
485,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,166
453,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,166
485,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,166
453,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,166
485,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,166
453,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,363,356,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,356,453
485,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,453,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,485
453,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,485,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,453
485,129,256,257,256,257,128,129,256,257,256,257,128,129,256,363,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,485
453,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,224,1,2,3,4,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,256,257,256,257,128,453
485,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,33,34,35,36,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,288,289,288,289,128,485
453,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,224,38,39,40,41,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,256,257,256,257,128,453
485,356,356,353,353,353,356,356,364,257,256,257,128,129,256,257,256,257,128,129,256,257,256,70,71,72,73,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,288,289,288,289,128,485
453,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,224,102,103,104,105,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,256,257,256,257,128,453
485,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,134,135,136,137,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,288,289,288,289,128,485
453,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,256,257,256,257,128,453
485,427,428,427,428,356,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,356,364,128,129,288,289,288,289,128,129,288,289,288,289,128,485
453,459,460,459,460,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,453,128,129,256,257,256,257,128,129,256,257,256,257,128,453
485,427,428,427,428,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,485,128,129,288,289,288,289,128,129,288,289,288,289,128,485
453,459,460,459,460,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,364,257,256,257,128,129,256,257,256,257,128,453
517,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,224,1,2,3,4,225,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,485
517,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,33,34,35,36,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,453
517,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,224,38,39,40,41,225,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,363,356,356,356,356,485
517,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,70,71,72,73,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,453
517,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,224,102,103,104,105,225,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,485
517,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,134,135,136,137,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,453
517,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,363,356,356,353,353,353,356,356,485
453,364,356,357,352,353,354,355,356,357,352,353,356,364,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,453
