485,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
453,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,391,392,392,393,393,394,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166
485,396,356,356,356,356,354,355,356,356,356,356,354,355,356,356,356,356,354,355,356,356,356,356,354,355,356,356,356,356,395,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166
453,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166
485,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166
453,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166
485,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,427,428,427,428,427,428,427,428,427,428,427,428
453,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,459,460,459,460,459,460,459,460,459,460,459,460
485,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,423,424,423,424,423,424,423,424,423,424,423,424,423,424,166,166,166,288,427,428,448,449,450,451,452,448,449,450,427,428
453,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,459,460,480,481,482,451,452,480,481,482,459,460
485,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,427,428,480,481,482,451,452,480,481,482,427,428
453,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,459,460,480,481,482,451,483,480,481,482,459,460
485,364,356,357,352,353,354,355,356,357,352,356,354,355,356,357,357,356,363,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,289,166,166,166,166,166,166,288,427,428,483,481,482,483,484,483,481,482,427,428
453,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,257,166,166,166,166,166,166,256,459,460,483,513,483,516,516,483,513,483,459,460
485,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,356,357,352,353,354,355,356,357,352,356,354,355,356,357,352,353,354,355,356,357,352,356,354,355,356,357,352,353,354,355,356,357,352,354,355
