364,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353
387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385
419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417
359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361,362,359,360,361,360,361
391,392,392,392,393,394,391,392,392,392,393,394,391,392,392,392,393,394,391,392,392,392,393,394,391,392,392,392,393,394,391,392,392,392,393,394,391,392,392,392,393
364,356,357,352,353,354,355,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,354,355,356,357,352,353,354,355,356,357,352,353
387,388,389,384,385,386,453,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,1,2,3,4,289,288,289,453,387,388,389,384,385,386,387,388,389,384,385
419,420,421,416,417,418,485,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,33,34,35,36,257,256,257,485,419,420,421,416,417,418,419,420,421,416,417
359,360,361,360,361,362,453,288,289,288,289,128,129,288,289,288,289,128,129,288,289,64,38,39,40,41,289,288,289,453,359,360,361,360,361,362,359,360,361,360,361
391,392,392,392,393,394,485,256,257,256,257,128,129,256,257,256,257,128,129,256,257,96,70,71,72,73,257,256,257,485,391,392,392,392,393,394,391,392,392,392,393
356,356,356,356,356,356,396,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,102,103,104,105,289,288,289,395,356,356,356,356,356,356,356,356,356,356,356
517,166,166,256,257,11,12,256,257,256,257,11,12,256,257,256,257,11,12,256,257,256,134,135,136,137,257,256,257,11,12,256,257,256,257,11,12,256,257,256,257
517,166,166,288,289,43,44,288,289,288,289,43,44,288,289,224,289,43,44,288,289,288,289,128,129,288,289,288,289,43,44,288,289,288,289,43,44,288,289,288,289
517,166,166,256,257,75,76,256,257,256,423,424,423,424,423,424,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,257,75,76,256,257,256,257
517,166,166,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289,107,108,288,289,288,289
517,166,166,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257,160,161,256,257,256,257
517,166,166,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289,192,193,288,289,288,289
364,356,357,352,353,354,355,356,357,352,353,354,355,356,357,352,353,354,355,614,357,352,353,354,355,356,357,352,614,354,355,356,357,352,353,354,355,356,357,352,353
387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385
419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416,417
356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
