453,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,453
485,257,256,257,256,257,128,129,256,257,256,257,128,224,225,128,129,224,225,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,224,225,128,129,224,225,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,288,485
453,289,288,289,288,289,128,129,288,289,288,289,128,256,257,128,129,256,257,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,256,257,128,129,256,257,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,256,453
485,257,256,257,256,257,128,129,256,257,256,257,128,224,225,128,129,224,225,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,224,225,128,129,224,225,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,288,485
485,289,288,289,288,289,128,129,288,289,288,289,128,256,257,128,129,256,257,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,256,257,128,129,256,257,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,256,485
453,257,256,257,256,257,128,129,256,257,256,257,128,224,225,128,129,224,225,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,256,257,128,129,256,257,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,288,453
453,289,288,289,288,289,128,129,288,289,288,289,128,256,257,128,129,256,257,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,224,1,2,3,4,225,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,256,485
485,257,256,257,256,257,128,129,256,257,256,257,128,224,225,128,129,224,225,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,256,33,34,35,36,257,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,288,453
453,289,288,289,288,289,128,129,288,289,288,289,128,256,257,128,129,256,257,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,224,65,66,67,68,225,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,256,485
485,257,256,257,256,257,128,129,256,257,256,257,128,224,225,128,129,224,225,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,256,97,98,99,100,257,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,288,453
485,289,288,289,288,289,128,129,288,289,288,289,128,256,257,128,129,256,257,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,224,102,103,104,105,225,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,256,485
453,257,256,257,256,257,128,129,256,257,256,257,128,224,1,2,3,4,225,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,256,134,135,136,137,257,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,288,453
485,289,288,289,288,289,128,129,288,289,288,289,128,256,33,34,35,36,257,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,224,225,224,225,224,225,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,128,129,288,289,288,289,256,485
453,257,256,257,256,257,128,129,256,257,256,257,128,224,65,66,67,68,225,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,423,424,423,424,423,424,423,424,423,424,423,424,423,424,423,424,423,424,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,128,129,256,257,256,257,256,453
