518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
423,424,425,426,423,424,425,426,423,424,425,426,423,424,425,426,423,424,425,426,423,424,425,426,423
224,225,485,166,166,166,166,166,166,166,166,166,224,225,166,166,224,225,166,166,166,166,166,166,166
256,257,453,166,166,132,133,166,166,166,166,166,256,257,166,166,256,257,166,166,166,166,166,166,166
288,289,485,166,166,164,165,166,166,166,166,166,288,289,11,12,13,289,166,166,166,166,166,166,166
256,257,453,166,166,166,166,166,166,166,166,166,256,257,43,44,45,257,166,166,166,166,166,166,166
224,225,485,166,166,166,166,166,166,166,166,166,224,225,160,161,224,225,166,166,166,166,166,166,166
427,428,453,130,166,166,166,166,166,166,166,166,256,257,192,193,256,257,166,166,166,166,166,166,166
459,460,354,355,353,357,357,353,354,355,353,357,358,353,354,355,353,358,357,353,354,355,356,358,357
384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384,385,386,387,388,389,384
416,417,418,419,420,421,416,417,418,418,420,421,416,417,418,419,420,421,416,417,418,419,420,421,416
